"","n.trees","interaction.depth","shrinkage","n.minobsinnode","obs","rowIndex","pred","BLCA","BRCA","CESC","COAD_READ","HNSC","LIHC","LUAD","LUSC","OV","PRAD","STAD","THCA","Resample"
"367",150,3,0.1,10,"LUAD",129,"LUSC",0.000451164296355464,0.000119305725430327,7.09727113550152e-05,0.00646521484033062,0.000156348284910677,0.000614658621685413,0.188236589206938,0.801147919603371,0.000154731126604233,0.00055167247381195,0.00167389965110893,0.000357523458098755,"Fold4.Rep1"
"368",150,3,0.1,10,"LUAD",137,"COAD_READ",2.13963326688844e-05,0.000514467524623597,2.42426066327745e-06,0.933454555818532,0.00190807919843498,0.000240244993546096,0.031233931505415,0.0324088093623026,1.34095710489755e-05,4.501406453577e-07,0.000196888329445645,5.34296267381856e-06,"Fold4.Rep1"
"369",150,3,0.1,10,"LUAD",143,"LUAD",0.00220492397309512,0.0648680461751284,0.0216698991203788,0.0014011458539322,0.047118749012201,0.000688107581489757,0.821930628405601,0.0158228673933043,0.00884092896194272,9.3438726006924e-05,0.0147194105381354,0.000641854258784793,"Fold4.Rep1"
"370",150,3,0.1,10,"LUSC",158,"LUSC",4.48338140119749e-05,0.000262129246221381,9.15101292584712e-05,0.000115114500530109,0.0109310471878639,6.43384006786486e-05,0.000206340512320533,0.986111038207232,1.9839133140516e-05,4.61659783800493e-05,0.00205758335392397,5.00595364382693e-05,"Fold4.Rep1"
"371",150,3,0.1,10,"LUSC",159,"BRCA",4.67833466774096e-05,0.886088718274818,0.0045368729140217,0.00111936426001184,0.0241616156853383,0.0144816546263292,0.00380118417817243,0.0549709175571188,0.0103824623492149,3.02233258370151e-05,0.00029474083965125,8.54626428086421e-05,"Fold4.Rep1"
"372",150,3,0.1,10,"LUSC",161,"LUSC",3.93851270078924e-05,2.7649672580782e-06,6.69470151808307e-07,1.26130196082199e-05,4.09428584880935e-06,5.82794210220794e-07,0.00117817893585112,0.998543871617302,1.14208996915578e-06,3.71662948201956e-05,0.000175607897826853,3.92350014557111e-06,"Fold4.Rep1"
"373",150,3,0.1,10,"LUSC",162,"LUSC",6.90311247093373e-05,0.00361315761009287,1.35611810002067e-05,5.0817011182211e-05,3.97411273073753e-05,1.65502620193315e-05,0.00178855274385656,0.9917381832464,0.000138185474503118,1.70306930262928e-06,0.00249665241468105,3.38647349458385e-05,"Fold4.Rep1"
"374",150,3,0.1,10,"LUSC",163,"LUSC",0.000282251142698768,1.52647573637568e-06,7.75289142179618e-05,3.65017854757237e-07,0.000123215068729325,1.69777610647588e-07,7.66766793531121e-06,0.999497661007698,4.30156297977105e-06,3.40809100242252e-08,2.48783673847705e-06,2.79144689042371e-06,"Fold4.Rep1"
"375",150,3,0.1,10,"LUSC",170,"LUSC",1.26096635936614e-06,0.000227688661037265,7.65048323173258e-07,4.10911778982307e-06,0.00148965314058264,1.49853354543246e-06,1.24730377793773e-05,0.998245934898174,1.03548511527224e-06,6.30785304693319e-07,1.36150158123756e-05,1.33531017679139e-06,"Fold4.Rep1"
"376",150,3,0.1,10,"LUSC",180,"LUSC",1.55858911171876e-06,0.00714779565418682,0.00690295529936855,5.94930667753778e-05,0.00787847472053369,0.00423930947037811,0.000333668382710424,0.973306842291097,0.000112333992924492,7.88757991169917e-07,9.1562456373816e-06,7.62352928534221e-06,"Fold4.Rep1"
"377",150,3,0.1,10,"LUSC",196,"LUSC",7.5282890225648e-07,1.56926882394354e-05,3.7668249804421e-06,1.01575490361129e-05,0.00177979067156139,1.19582779672442e-06,0.00285007347277237,0.993821731341342,0.00151359147188482,3.04600052757047e-07,5.62517155968198e-07,2.38020627603271e-06,"Fold4.Rep1"
"378",150,3,0.1,10,"LUSC",200,"LUSC",1.81776286678603e-05,0.00159171749458725,0.00691410319920435,0.0107507733358929,0.00523171492483503,0.0016100949075306,0.000375811434000161,0.954029625273418,0.0183687946463733,2.20514504400587e-06,0.00109158149023295,1.54005202140631e-05,"Fold4.Rep1"
"379",150,3,0.1,10,"OV",202,"THCA",0.00204899386461564,0.0166380288520323,0.000113540088880691,0.00265247076272138,0.012322750717422,0.000686130179623299,0.0649510496706376,0.00124660178637985,0.00765260239288422,5.495049895885e-05,0.00405844431115793,0.887574436874686,"Fold4.Rep1"
"380",150,3,0.1,10,"OV",206,"LUSC",4.48027734330191e-05,6.65757462107303e-06,1.64170606380632e-05,0.00436160553791202,1.01966803489045e-05,5.35628841892681e-06,0.00901254667723672,0.782111921990836,0.204229964372692,7.018227886861e-07,0.000185262383179022,1.45668378964292e-05,"Fold4.Rep1"
