"id" "n"
"606" "DO36710_normal" 19857438546
"607" "DO36710_tumor" 16240783685
"608" "DO36801_normal" 18080223076
"609" "DO36801_tumor" 20261802771
"610" "DO36822_normal" 16559858007
"611" "DO36822_tumor" 23767667271
"612" "DO36881_normal" 17001291230
"613" "DO36881_tumor" 39785541377
"614" "DO36945_normal" 19533159047
"615" "DO36945_tumor" 24448557342
"616" "DO36969_normal" 16183489130
"617" "DO36969_tumor" 26021529233
"618" "DO37074_normal" 16607124734
"619" "DO37074_tumor" 26916048407
"620" "DO37138_normal" 15787995194
"621" "DO37138_tumor" 16611525732
"622" "DO37259_normal" 18957487230
"623" "DO37259_tumor" 26920781251
"624" "DO37267_normal" 18564652335
"625" "DO37267_tumor" 16701719030
"626" "DO37426_tumor" 35527521964
"627" "DO37435_tumor" 28474046101
"628" "DO37703_tumor" 21713899619
"629" "DO37750_normal" 23535042378
"630" "DO3804_normal" 21135210269
"631" "DO3804_tumor" 26264659559
"632" "DO38190_normal" 19617169329
"633" "DO38190_tumor" 39252712297
"634" "DO38226_normal" 26136017082
"635" "DO38226_tumor" 21039462844
"636" "DO38229_normal" 21183539062
"637" "DO38229_tumor" 39831704985
"638" "DO38238_normal" 18856202002
"639" "DO38238_tumor" 22664734584
"640" "DO38376_normal" 18377051423
"641" "DO38376_tumor" 31029394179
"642" "DO38380_normal" 17788962450
"643" "DO38380_tumor" 20180254308
"644" "DO38388_normal" 22889208309
"645" "DO38388_tumor" 18414530038
"646" "DO38404_normal" 25440710956
"647" "DO38404_tumor" 17206537144
"648" "DO3840_normal" 18842207169
"649" "DO3840_tumor" 29930107377
"650" "DO38423_normal" 19445363335
"651" "DO38423_tumor" 32434653223
"652" "DO38519_normal" 22700050337
"653" "DO38519_tumor" 40504812903
"654" "DO38535_normal" 27576448174
"655" "DO38535_tumor" 33469826961
"656" "DO38547_normal" 18447181345
"657" "DO38547_tumor" 23632809907
"658" "DO38571_normal" 21365035593
"659" "DO38571_tumor" 37633717668
"660" "DO38603_normal" 24775852408
"661" "DO38603_tumor" 25057786817
"662" "DO38635_normal" 24310308927
"663" "DO38635_tumor" 41307875611
"664" "DO38655_normal" 27210702488
"665" "DO38655_tumor" 39027607239
"666" "DO38663_normal" 17700369890
"667" "DO38663_tumor" 21165548024
"668" "DO38671_normal" 22399085415
"669" "DO38671_tumor" 32236114979
"670" "DO38727_normal" 18571836536
"671" "DO38727_tumor" 19782178581
"672" "DO38731_normal" 18940145196
"673" "DO38731_tumor" 36034968981
"674" "DO3874_normal" 19029887760
"675" "DO3874_tumor" 32798104984
"676" "DO38775_normal" 26064256804
"677" "DO38775_tumor" 33674295885
"678" "DO38779_normal" 21479217504
"679" "DO38779_tumor" 19987057552
"680" "DO38791_normal" 23657173095
"681" "DO38791_tumor" 33294428320
"682" "DO38807_normal" 21844647991
"683" "DO38807_tumor" 40764194065
"684" "DO38831_normal" 18187692991
"685" "DO38831_tumor" 41310489792
"686" "DO38847_normal" 25056107014
"687" "DO38847_tumor" 32097348239
"688" "DO38871_normal" 25171307814
"689" "DO38871_tumor" 35566782933
"690" "DO38899_normal" 27128201133
"691" "DO38899_tumor" 44907987008
"692" "DO38901_normal" 19149883633
"693" "DO38901_tumor" 20090943023
"694" "DO38903_normal" 17518187503
"695" "DO38903_tumor" 43283704297
"696" "DO38911_normal" 28576650541
"697" "DO38911_tumor" 36237520588
"698" "DO38946_normal" 21187567858
"699" "DO38946_tumor" 38934721562
"700" "DO38966_normal" 24384577093
"701" "DO38966_tumor" 44703579889
"702" "DO38978_normal" 23927734578
"703" "DO38978_tumor" 43399410152
"704" "DO39016_normal" 30028571620
"705" "DO39016_tumor" 17089447796
"706" "DO39020_normal" 21204168918
"707" "DO39020_tumor" 42718890070
"708" "DO39022_normal" 21658649246
"709" "DO39022_tumor" 18368582881
"710" "DO39046_normal" 27209854522
"711" "DO39046_tumor" 40964284541
"712" "DO39062_normal" 25262678866
"713" "DO39062_tumor" 34216214470
"714" "DO39070_normal" 22174238554
"715" "DO39070_tumor" 37225188313
"716" "DO39072_normal" 25382971524
"717" "DO39072_tumor" 43631271288
"718" "DO39084_normal" 24614535743
"719" "DO39084_tumor" 35722580192
"720" "DO39127_normal" 19869533030
"721" "DO39127_tumor" 18116896813
"722" "DO39210_normal" 22521511602
"723" "DO39210_tumor" 35862299106
"724" "DO39216_normal" 21410081902
"725" "DO39216_tumor" 36441816617
"726" "DO39246_normal" 16650840056
"727" "DO39246_tumor" 58754165137
"728" "DO39306_normal" 16228265072
"729" "DO39306_tumor" 36304851181
"730" "DO39363_normal" 25337305645
"731" "DO39363_tumor" 40934425132
"732" "DO39481_normal" 23555240649
"733" "DO39481_tumor" 41624866056
"734" "DO39534_normal" 18738123234
"735" "DO39534_tumor" 19487387189
"736" "DO39564_normal" 25707177619
"737" "DO39564_tumor" 45088195993
"738" "DO3958_normal" 18220227174
"739" "DO3958_tumor" 31600870859
"740" "DO39610_normal" 23966911056
"741" "DO39610_tumor" 38180926581
"742" "DO39635_normal" 16070513742
"743" "DO39635_tumor" 42896126810
"744" "DO39684_normal" 22422986940
"745" "DO39684_tumor" 42361934113
"746" "DO39798_normal" 17930850625
"747" "DO39798_tumor" 17466893519
"748" "DO39804_normal" 16367855107
"749" "DO39804_tumor" 37489953200
"750" "DO39841_normal" 23334169132
"751" "DO39841_tumor" 41104495627
"752" "DO39847_normal" 18064904264
"753" "DO39847_tumor" 36044873576
"754" "DO39886_normal" 24332378833
"755" "DO39886_tumor" 42985433640
